Date,Price,lag_P,lag_O,lag_H,lag_L,lag_V,lag_C,Year,Month,Day,Weekday
2014-01-04,0.14994298745724066,0.15827315342708737,0.15273230924200454,0.15575571177504388,0.1574523116715163,0.02740366629255518,0.5523049645390071,0.0,0.0,0.1,0.8333333333333333
2014-01-06,0.14487520587862668,0.1719878373242113,0.1603815159909343,0.16994099924679884,0.16838021338506304,0.029367751589973814,0.6604609929078014,0.0,0.0,0.16666666666666669,0.0
2014-01-07,0.1398074243000127,0.16413277587735975,0.17149332661798045,0.17229475269897065,0.16388619463304233,0.028526000748222972,0.4565602836879433,0.0,0.0,0.2,0.16666666666666666
2014-01-08,0.1390155834283543,0.14994298745724066,0.1478217073784941,0.14574441375847347,0.15548011639185255,0.0,0.3962765957446809,0.0,0.0,0.23333333333333334,0.3333333333333333
2014-01-09,0.14101102242493346,0.14487520587862668,0.14848274993704358,0.14938488576449915,0.14810863239573224,0.22802095024317245,0.4813829787234043,0.0,0.0,0.26666666666666666,0.5
2014-01-10,0.14645888762194348,0.1398074243000127,0.14313145303450014,0.1431082098920412,0.14361461364371153,0.17499064721286944,0.4813829787234043,0.0,0.0,0.3,0.6666666666666666
2014-01-13,0.15098821740782975,0.1390155834283543,0.1363951145807102,0.1378985689179011,0.14064015518913675,0.16965955854844744,0.5221631205673759,0.0,0.0,0.4,0.0
2014-01-14,0.14737742303306733,0.14101102242493346,0.13872450264417024,0.138651770022596,0.1420950533462657,0.14150766928544706,0.549645390070922,0.0,0.0,0.43333333333333335,0.16666666666666666
2014-01-15,0.1458570885594831,0.14645888762194348,0.13998363132712166,0.14320236003012798,0.14516650501131578,0.1478675645342312,0.5824468085106383,0.0,0.0,0.4666666666666667,0.3333333333333333
2014-01-16,0.14642721398707714,0.15098821740782975,0.14439058171745156,0.14734496610595027,0.15075978014872282,0.12888140665918443,0.573581560283688,0.0,0.0,0.5,0.5
2014-01-17,0.1533003927530724,0.14737742303306733,0.14813648954923198,0.14922796886768763,0.1514710636922082,0.09913954358398804,0.49556737588652483,0.0,0.0,0.5333333333333333,0.6666666666666666
2014-01-20,0.15421892816419613,0.1458570885594831,0.1441072777637875,0.14263745920160686,0.14652440995796956,0.13075196408529743,0.5159574468085106,0.0,0.0,0.6333333333333333,0.0
2014-01-21,0.15257189915114666,0.14642721398707714,0.14423319063208262,0.14483429575696716,0.14936954413191073,0.11765806210250655,0.5354609929078015,0.0,0.0,0.6666666666666666,0.16666666666666666
2014-01-22,0.1496262511085772,0.1533003927530724,0.1431944094686477,0.1500125533517449,0.14820562560620754,0.16498316498316498,0.5957446808510638,0.0,0.0,0.7,0.3333333333333333
2014-01-23,0.1535854554668694,0.15421892816419613,0.15194535381515994,0.15264875721817728,0.15913352731975428,0.08829031051253274,0.5390070921985816,0.0,0.0,0.7333333333333333,0.5
2014-01-24,0.15928670974281012,0.15257189915114666,0.15137874590783185,0.14988701983429575,0.15473650177820886,0.17031425364758698,0.5141843971631206,0.0,0.0,0.7666666666666667,0.6666666666666666
2014-01-27,0.16977068288356778,0.1496262511085772,0.15018257365902798,0.1503577705247301,0.15402521823472348,0.13935652824541714,0.50177304964539,0.0,0.0,0.8666666666666667,0.0
2014-01-28,0.16099708602559237,0.1535854554668694,0.14627927474187863,0.15167587245794623,0.1502101519560297,0.2884399551066218,0.5682624113475178,0.0,0.0,0.9,0.16666666666666666
2014-01-29,0.16755352844292415,0.15928670974281012,0.15159909342734834,0.15883128295254834,0.15761396702230834,0.19070332959221847,0.5842198581560284,0.0,0.0,0.9333333333333333,0.3333333333333333
2014-01-30,0.1569111871278348,0.16977068288356778,0.16050742885922942,0.16614361034396186,0.16850953766569665,0.20688365132809577,0.6294326241134752,0.0,0.0,0.9666666666666667,0.5
2014-01-31,0.1563727353351071,0.16099708602559237,0.16645681188617478,0.164323374340949,0.16540575493048815,0.1695660306771418,0.44769503546099293,0.0,0.0,0.9999999999999999,0.6666666666666666
2014-02-03,0.16609654123907258,0.16755352844292415,0.1569818685469655,0.1649196585488325,0.161946330423537,0.16965955854844744,0.5921985815602837,0.0,0.09090909090909091,0.06666666666666668,0.0
2014-02-04,0.15801976434815657,0.1569111871278348,0.16576429111055158,0.16564147627416514,0.16165535079211113,0.14880284324728768,0.42996453900709225,0.0,0.09090909090909091,0.1,0.16666666666666666
2014-02-05,0.16387938679842906,0.1563727353351071,0.15418030722739873,0.15829776550338936,0.15793727772389266,0.1421623643845866,0.524822695035461,0.0,0.09090909090909091,0.13333333333333333,0.3333333333333333
2014-02-06,0.14842265298365642,0.16609654123907258,0.1548413497859482,0.1636643233743409,0.15945683802133848,0.10998877665544332,0.6223404255319149,0.0,0.09090909090909091,0.16666666666666669,0.5
2014-02-07,0.15092487013809708,0.15801976434815657,0.16176655754218083,0.16275420537283458,0.16327190430003224,0.02955480733258511,0.4539007092198582,0.0,0.09090909090909091,0.2,0.6666666666666666
2014-02-10,0.1560243253515774,0.16387938679842906,0.15525056660790737,0.17151016821491338,0.1631102489492402,0.04199401421623644,0.5859929078014184,0.0,0.09090909090909091,0.3,0.0
2014-02-11,0.16232737868997849,0.14842265298365642,0.14763283807605143,0.15104820487070048,0.1532816036210798,0.1735877291432847,0.3847517730496455,0.0,0.09090909090909091,0.3333333333333333,0.16666666666666666
2014-02-12,0.1632142404662359,0.15092487013809708,0.14719214303701844,0.15079713783580218,0.15483349498868404,0.13673774784885895,0.5540780141843972,0.0,0.09090909090909091,0.3666666666666667,0.3333333333333333
